shipToCode;shipToName;shipToAddress1;shipToAddress2;shipToCity;shipToPostalCode
"202667";"CHARLES CHAN HEART CLINIC PTE LTD";"6 NAPIER RD. SUITE 02-02";"Gleneagles Medical Centre";"Singapore";"SG 258499"
"201460";"PSYCHIATRIC CARE CLINIC- DR TAY LIAM KAI";"38 IRRAWADDY ROAD";"#05-48 Mt E Novena Specialist Ctr";"Singapore";"SG 329563"
"203748";"DR BL LIM CTR FOR PSYCHOLOGICAL WELLNESS P/L";"6 NAPIER RD.";"#09-09 Gleneagles Medical Centre";"Singapore";"SG 258499"
"200800";"MAO MEDICAL CTR & SURGERY P/L-DR MAO FONG HAO";"BLOCK 149 SILAT AVENUE";"#01-54";"Singapore";"SG 160149"
"202116";"NEE SOON CLINIC";"BLOCK 779 YISHUN AVENUE 2";"#01-1547";"Singapore";"SG 760779"
"203408";"DUBLIN CLINIC PTE LTD";"BLOCK 109 CLEMENTI ST 11";"#01-25";"Singapore";"SG 120109"
"400153";"NATIONAL UNIVERSITY HOSPITAL (S) PTE LTD";"LOWER KENT RIDGE RD.";"Pharmacy Dept";"Singapore";"SG 119074"
"200374";"MEDEN CLINIC & SURGERY- DR GOH CHENG CHUAN";"BLOCK 35 TELOK BLANGAH RISE";"#01-295";"Singapore";"SG 090035"
"201231";"TEH LIP BIN GASTROENTEROLOGY & MEDICAL CLINIC";"6 NAPIER RD.";"#04-04 Gleneagles Medical Centre";"Singapore";"SG 258499"
"202092";"QUALITAS HEALTHCARE PTE LTD C/O YSL BEDOK CLINIC &";"BLOCK 539 BEDOK NORTH ST 3";"#01-631";"Singapore";"SG 460539"
"202178";"THE HEALER CLINIC & SURGERY- DR LING CHUEN";"BLOCK 154 SERANGOON NORTH AVE 1";"#01-452";"Singapore";"SG 550154"
"203207";"DR WARREN LEE'S PAEDIATRICS, GROWTH & DIABETES CTR";"PTE LTD";"1 Orchard Boulevard #02-06 Camden MedCtr";"Singapore";"SG 248649"
"203631";"DANIEL WAI DIABETES,THYROID & HORMONE CLINIC P/L";"3 MOUNT ELIZABETH";"#03-04 Mount Elizabeth Medical Centre";"Singapore";"SG 228510"
"400153";"NATIONAL UNIVERSITY HOSPITAL (S) PTE LTD";"LOWER KENT RIDGE RD.";"Pharmacy Dept";"Singapore";"SG 119074"
"900927";"UNITY BY FAIRPRICE - TSP THOMSON PLAZA TSP";"301 THOMSON RD.";"#01-102 Thomson Plaza";"Singapore";"SG 574408"
"100105";"NATIONAL HEART CTR OF SINGAPORE PTE LTD";"MISTRI WING";"17 Third Hospital Avenue";"Singapore";"SG 168751"
"200778";"TOWN HALL CLINIC P/L- DR JULIAN PNG";"438C ALEXANDRA ROAD";"#01-01 Alexandra Technopark,THE HUB";"Singapore";"SG 119976"
"201049";"HEALTH PARTNERSHIP MED CTR- DR CHEONG KWOK KEONG";"BLOCK 109 BUKIT PURMEI";"#01-145";"Singapore";"SG 090109"
"201310";"HEALTHPOINT FAMILY CLINIC-DR.SARANI OMAR/DR.WONG M";"BLOCK 48 TANGLIN HALT RD.";"#01-337";"Singapore";"SG 142048"
"201473";"FAMILYCARE CLINIC AND SURGERY- DR SOO ING CHOONG";"BLOCK 85C LORONG 4 TOA PAYOH";"#01-380";"Singapore";"SG 313085"
"202106";"EVERHEALTH FAMILY CLINIC & SURGERY";"BLOCK 762 JURONG WEST ST 75";"#01-290 Gek Poh Shopping Centre";"Singapore";"SG 640762"
"202116";"NEE SOON CLINIC";"BLOCK 779 YISHUN AVENUE 2";"#01-1547";"Singapore";"SG 760779"
"202227";"CHAN KM GERIATRIC & MEDICAL CLINIC P/L";"6 NAPIER RD.";"#08-10 Gleneagles Medical Centre";"Singapore";"SG 258499"
"202973";"JOHN CHIAM MEDICAL CLINIC";"BLOCK 21 GHIM MOH RD.";"#01-145";"Singapore";"SG 270021"
"203248";"THE S'PORE GASTROENTEROLOGY & LIVER INTERNIST CTR";"6A NAPIER RD.";"#03-37 Gleneagles Hospital Annexe Block";"Singapore";"SG 258500"
"203514";"RAFFLES MEDICAL GRP LTD- SERANGOON CENTRAL";"23 SERANGOON CENTRAL";"#B2-01 Nex";"Singapore";"SG 556083"
