shipToCode;shipToName;shipToAddress1;shipToAddress2;shipToCity;shipToPostalCode
"200598";"Teng Clinic - Dr Siah Kim Bin";"Block 171 Stirling Rd.";"#01-1101";"Singapore";"140171"
"200598";"Teng Clinic - Dr Siah Kim Bin";"Block 171 Stirling Rd.";"#01-1101";"Singapore";"140171"
"F21410";"Guardian H&B- 341 The Centrepoint";"176 Orchard Road";"B1-01/02/03/04 The Centrepoint";"Singapore";"238843"
"100342";"Alexandra Health Pte Ltd c/o Khoo Teck Puat Hospit";"";"90 Yishun Central";"Singapore";"768828"
"202924";"Northeast(Simei)Medical Ctr. P/L c/o Northeast Med";"30 Simei St. 3";"#02-01 Simei MRT Stat.";"Singapore";"529888"
"202924";"Northeast(Simei)Medical Ctr. P/L c/o Northeast Med";"30 Simei St. 3";"#02-01 Simei MRT Stat.";"Singapore";"529888"
"203525";"Healthwerkz Medical Group Pte Ltd Healthwerkz Medi";"Block 355 Sembawang Way";"#01-02";"Singapore";"750355"
"203525";"Healthwerkz Medical Group Pte Ltd Healthwerkz Medi";"Block 355 Sembawang Way";"#01-02";"Singapore";"750355"
"200987";"Central Medical Group P/L- Dr Lim Geok Leong";"Block 11 Jalan Bukit Merah";"#01-4442";"Singapore";"150011"
"200987";"Central Medical Group P/L- Dr Lim Geok Leong";"Block 11 Jalan Bukit Merah";"#01-4442";"Singapore";"150011"
"203424";"Roger Kidney Clinic";"6 Napier Rd.";"#04-16 Gleneagles Medical Ctr.";"Singapore";"258499"
"203424";"Roger Kidney Clinic";"6 Napier Rd.";"#04-16 Gleneagles Medical Ctr.";"Singapore";"258499"
"200322";"Liew Clinic - Dr Liew B L";"5000G Marine Parade Rd.";"#01-31 Laguna Park";"Singapore";"449290"
"200322";"Liew Clinic - Dr Liew B L";"5000G Marine Parade Rd.";"#01-31 Laguna Park";"Singapore";"449290"
"E71035";"Sengkang General Hospital Pte. Ltd.";"110 Sengkang East Way";"";"Singapore";"544886"
"100342";"Alexandra Health Pte Ltd c/o Khoo Teck Puat Hospit";"";"90 Yishun Central";"Singapore";"768828"
"902229";"Watson's PCS- CWP 151 CausewayPt";"1 Woodlands Square";"#B1-14/15 Causeway Point Shopping Ctr";"Singapore";"738099"
"200863";"Mary Medical Clinic & Surgery-Dr Mary Yao Wan Hwa";"Block 252 Jurong East St. 24";"#01-157";"Singapore";"600252"
"200863";"Mary Medical Clinic & Surgery-Dr Mary Yao Wan Hwa";"Block 252 Jurong East St. 24";"#01-157";"Singapore";"600252"
"202315";"Raffles Hospital Pte Ltd";"585 North Bridge Rd.";"#07-00 Pharmacy Department";"Singapore";"188770"
"100002";"Tan Tock Seng Hospital Pte Ltd";"Moulmein Rd.";"Pharmacy Dept";"Singapore";"308087"
"201330";"Family Health Clinic & Surgery P/L-Dr Wong Ted Min";"Block 2 Balestier Rd.";"#01-651 Balestier Hill Shopping Ctr";"Singapore";"320002"
"201330";"Family Health Clinic & Surgery P/L-Dr Wong Ted Min";"Block 2 Balestier Rd.";"#01-651 Balestier Hill Shopping Ctr";"Singapore";"320002"
"201742";"K N Chin & Associates P/L- Dr Michel Foo S N";"3 Temasek Boulevard";"#02-400 Suntec City Mall";"Singapore";"038983"
"201742";"K N Chin & Associates P/L- Dr Michel Foo S N";"3 Temasek Boulevard";"#02-400 Suntec City Mall";"Singapore";"038983"
"400050";"H C P Pte Ltd";"150 Orchard Road";"#04-06 Orchard Plaza";"Singapore";"238841"
"400050";"H C P Pte Ltd";"150 Orchard Road";"#04-06 Orchard Plaza";"Singapore";"238841"
"200246";"Japan Clinic & Surgery- Dr Chee Weng Sun";"Block 802 French Rd.";"#01-55";"Singapore";"200802"
"200246";"Japan Clinic & Surgery- Dr Chee Weng Sun";"Block 802 French Rd.";"#01-55";"Singapore";"200802"
"200246";"Japan Clinic & Surgery- Dr Chee Weng Sun";"Block 802 French Rd.";"#01-55";"Singapore";"200802"
"203478";"Lim Ing Haan Cardiology Pte Ltd";"3 Mount Elizabeth";"#04-02 Mt Elizabeth Medical Ctr.";"Singapore";"228510"
"203478";"Lim Ing Haan Cardiology Pte Ltd";"3 Mount Elizabeth";"#04-02 Mt Elizabeth Medical Ctr.";"Singapore";"228510"
"D63903";"Heart Matters Medical Centre PteLtd";"38 Irrawaddy Road";"#07-30 Mount. E Novena Specialist Ctr";"Singapore";"329563"
"D63903";"Heart Matters Medical Centre PteLtd";"38 Irrawaddy Road";"#07-30 Mount. E Novena Specialist Ctr";"Singapore";"329563"
"202315";"Raffles Hospital Pte Ltd";"585 North Bridge Rd.";"#07-00 Pharmacy Department";"Singapore";"188770"
"202315";"Raffles Hospital Pte Ltd";"585 North Bridge Rd.";"#07-00 Pharmacy Department";"Singapore";"188770"
"I35822";"Livingstone Cardiology Pte Ltd c/o Livingstone Car";"3 Mount Elizabeth";"#14-13 Mount Elizabeth Medical Ctr";"Singapore";"228510"
"I35822";"Livingstone Cardiology Pte Ltd c/o Livingstone Car";"3 Mount Elizabeth";"#14-13 Mount Elizabeth Medical Ctr";"Singapore";"228510"
"201649";"AMPM Family Clinic & Surgery P/L";"Block 123 Lorong 1 Toa Payoh";"#01-521";"Singapore";"310123"
"201649";"AMPM Family Clinic & Surgery P/L";"Block 123 Lorong 1 Toa Payoh";"#01-521";"Singapore";"310123"
"200330";"Lim Clinic - Dr Lim Wee Ni";"295 Changi Rd.";"";"Singapore";"419773"
"200330";"Lim Clinic - Dr Lim Wee Ni";"295 Changi Rd.";"";"Singapore";"419773"
"805538";"Temasek Clinic & Surgery- Dr Gerard Lim Yoong Che";"Block 73 Bedok South Avenue 3";"#01-460";"Singapore";"460073"
"805538";"Temasek Clinic & Surgery- Dr Gerard Lim Yoong Che";"Block 73 Bedok South Avenue 3";"#01-460";"Singapore";"460073"
"I09955";"Family Union Healthcare Pte Ltd c/o A1 Medical Cli";"418 Bedok North Avenue 2";"#01-63 Linear Green @ Bedok";"Singapore";"460418"
"I09955";"Family Union Healthcare Pte Ltd c/o A1 Medical Cli";"418 Bedok North Avenue 2";"#01-63 Linear Green @ Bedok";"Singapore";"460418"
"201330";"Family Health Clinic & Surgery P/L-Dr Wong Ted Min";"Block 2 Balestier Rd.";"#01-651 Balestier Hill Shopping Ctr";"Singapore";"320002"
"201330";"Family Health Clinic & Surgery P/L-Dr Wong Ted Min";"Block 2 Balestier Rd.";"#01-651 Balestier Hill Shopping Ctr";"Singapore";"320002"
"203497";"The Vascular & General Surgery Ctr Pte Ltd";"290 Orchard Rd.";"#18-05 Paragon Medical Suite";"Singapore";"238859"
"203497";"The Vascular & General Surgery Ctr Pte Ltd";"290 Orchard Rd.";"#18-05 Paragon Medical Suite";"Singapore";"238859"
"200157";"Eastern Clinic & Surgery P/L-Dr Tan Chin Hor";"Block 235 Jurong East St. 21";"#01-316";"Singapore";"600235"
"200157";"Eastern Clinic & Surgery P/L-Dr Tan Chin Hor";"Block 235 Jurong East St. 21";"#01-316";"Singapore";"600235"
"201960";"First Medical Ctr Pte Ltd -Dr Wang Joon Leong";"Block 169 Stirling Rd.";"#01-1165";"Singapore";"140169"
"201960";"First Medical Ctr Pte Ltd -Dr Wang Joon Leong";"Block 169 Stirling Rd.";"#01-1165";"Singapore";"140169"
"201276";"Family Healthcare Cl & Surgery- Dr Cheng Soo Hong";"Block 523 Hougang Avenue 6";"#01-119";"Singapore";"530523"
"201276";"Family Healthcare Cl & Surgery- Dr Cheng Soo Hong";"Block 523 Hougang Avenue 6";"#01-119";"Singapore";"530523"
"201276";"Family Healthcare Cl & Surgery- Dr Cheng Soo Hong";"Block 523 Hougang Avenue 6";"#01-119";"Singapore";"530523"
"201276";"Family Healthcare Cl & Surgery- Dr Cheng Soo Hong";"Block 523 Hougang Avenue 6";"#01-119";"Singapore";"530523"
"100065";"Institute Of Mental Health";"10 Buangkok View";"Buangkok Green Medical Park";"Singapore";"539747"
"400032";"Pan-Malayan Pharmaceuticals Pte Ltd";"16 Tai Seng Street";"Level 4";"Singapore";"534138"
"400032";"Pan-Malayan Pharmaceuticals Pte Ltd";"16 Tai Seng Street";"Level 4";"Singapore";"534138"
"202138";"Respiratory & Medical Specialists P/L- Dr Y K Tan";"6 Napier Rd.";"#06-02 Gleneagles Medical Ctr.";"Singapore";"258499"
"202138";"Respiratory & Medical Specialists P/L- Dr Y K Tan";"6 Napier Rd.";"#06-02 Gleneagles Medical Ctr.";"Singapore";"258499"
"200246";"Japan Clinic & Surgery- Dr Chee Weng Sun";"Block 802 French Rd.";"#01-55";"Singapore";"200802"
"200246";"Japan Clinic & Surgery- Dr Chee Weng Sun";"Block 802 French Rd.";"#01-55";"Singapore";"200802"
